portfolio_id,farm_id,name,partner_longitude,partner_latitude,area
virtualfarmer.portfolio_320,virtualfarmer.farm_632,Zaaiplaats,26.658041306494297,-27.651163,1010.69
virtualfarmer.portfolio_111,virtualfarmer.farm_183,Kromme Draai,29.357666674503136,-28.692523,246.053
virtualfarmer.portfolio_453,virtualfarmer.farm_1295,Caledonia,27.751345860664262,-28.687137,957.56
virtualfarmer.portfolio_74,virtualfarmer.farm_831,Nooitgedacht,29.566775655234657,-28.783748000000003,299.18
virtualfarmer.portfolio_489,virtualfarmer.farm_1336,Houtvolop,25.331814050234428,-27.317213000000002,426.516
virtualfarmer.portfolio_520,virtualfarmer.farm_1035,Goedgedacht,29.12269901035718,-24.446866,318.65
virtualfarmer.portfolio_202,virtualfarmer.farm_515,Grootkop,30.59528859074176,-25.831364,897.05
virtualfarmer.portfolio_111,virtualfarmer.farm_184,Nineveh,29.396445774095515,-28.6173545,1270.596
virtualfarmer.portfolio_255,virtualfarmer.farm_574,Tweedronk,29.456028408943745,-26.8793065,134.22
virtualfarmer.portfolio_95,virtualfarmer.farm_237,Doorn Poort,29.899211157412104,-28.291437000000002,891.466
virtualfarmer.portfolio_320,virtualfarmer.farm_633,Doornknop,26.67003562149409,-27.6187905,1129.87
virtualfarmer.portfolio_287,virtualfarmer.farm_601,Rhenosterfontein,27.86645165488863,-24.563833,1441.82
virtualfarmer.portfolio_255,virtualfarmer.farm_575,Weltevreden,29.385498792541064,-26.886848,911.24
virtualfarmer.portfolio_91,virtualfarmer.farm_158,Middelpan,28.371993601087844,-26.981223,1077.728
virtualfarmer.portfolio_325,virtualfarmer.farm_932,Geluk - Schaapkraal,28.885508359033107,-27.792627500000002,899.58
virtualfarmer.portfolio_352,virtualfarmer.farm_863,Loskop Noord,29.26433675467986,-25.060671,298.88
virtualfarmer.portfolio_523,virtualfarmer.farm_1040,Conterberg,29.055690198019803,-24.713381,1390.84
virtualfarmer.portfolio_523,virtualfarmer.farm_1038,Vogelstruispan,28.866162130016583,-24.594633,112.71
virtualfarmer.portfolio_530,virtualfarmer.farm_1033,Zaaiplaats,28.896344520453063,-24.6755425,1625.49
virtualfarmer.portfolio_882,virtualfarmer.farm_1297,Bethal,28.180450083152856,-27.709268,170.7
virtualfarmer.portfolio_880,virtualfarmer.farm_1302,Klipplaat,29.18820853848997,-26.073359500000002,395.91
virtualfarmer.portfolio_68,virtualfarmer.farm_256,Lindeques Laager,29.450845030987164,-28.836015,219.707
virtualfarmer.portfolio_255,virtualfarmer.farm_572,Die Draai,28.8902889041495,-27.038857,615.31
virtualfarmer.portfolio_287,virtualfarmer.farm_599,Loskop Noord,29.25385383856033,-24.943689,828.87
virtualfarmer.portfolio_528,virtualfarmer.farm_968,Nooitgedacht,25.758555066809652,-26.7164545,651.48
virtualfarmer.portfolio_491,virtualfarmer.farm_864,Brinkshoop,29.886192778921753,-27.672428,1703.04
virtualfarmer.portfolio_491,virtualfarmer.farm_865,Tweefontein,29.89501624962054,-27.704082999999997,173.17
virtualfarmer.portfolio_523,virtualfarmer.farm_1039,De Hoop,29.015972027337618,-24.621685,222.69
virtualfarmer.portfolio_537,virtualfarmer.farm_1041,Springhaanslaagte,29.018429598218226,-24.5867075,498.79
virtualfarmer.portfolio_91,virtualfarmer.farm_156,De Lelie,28.733312932004345,-27.068023,4190.222
virtualfarmer.portfolio_91,virtualfarmer.farm_159,Mooipan,28.660564327437747,-26.967999499999998,418.163
virtualfarmer.portfolio_255,virtualfarmer.farm_570,Vellingkraal,28.865771002813254,-26.9836545,866.34
virtualfarmer.portfolio_491,virtualfarmer.farm_866,Craig,29.879602460719152,-27.7479835,402.3
virtualfarmer.portfolio_352,virtualfarmer.farm_962,Kalkpan,28.85014460064303,-24.899061000000003,1833.89
virtualfarmer.portfolio_537,virtualfarmer.farm_1043,Roodesloot,29.090076763741116,-24.38321,343.17
